"ID_outbreak","OCV_before_1","OCV_before_2","OCV_before_3","OCV_during","OCV_after_1","spatial_scale","Num_doses","Target_pop","Start_date"
"AFR::ZMB::Lusaka-2017-11-27-2018-04-22",FALSE,TRUE,TRUE,FALSE,FALSE,"smaller",423744,"543755","2016-04-09"
"AFR::ZMB::Lusaka::Lusaka-2017-11-06-2018-04-08",FALSE,TRUE,TRUE,FALSE,FALSE,"same",423744,"543755","2016-04-09"
"AFR::ZMB::Lusaka-2017-11-27-2018-04-22",TRUE,TRUE,TRUE,FALSE,FALSE,"smaller",437143,"421548","2016-12-16"
"AFR::ZMB::Lusaka::Lusaka-2017-11-06-2018-04-08",TRUE,TRUE,TRUE,FALSE,FALSE,"same",437143,"421548","2016-12-16"
"AFR::MOZ::Nampula-2017-10-02-2018-01-07",TRUE,TRUE,TRUE,FALSE,FALSE,"smaller",209561,"193403","2016-10-03"
"AFR::MOZ::Nampula-2017-10-02-2018-01-07",TRUE,TRUE,TRUE,FALSE,FALSE,"smaller",208734,"193403","2016-10-24"
"AFR::COD::Nord-Kivu::Goma Health District-2019-06-24-2020-05-10",TRUE,TRUE,TRUE,FALSE,FALSE,"same",107459,"97547","2019-05-28"
"AFR::COD::Sankuru::Lusambo Health District-2019-08-12-2019-10-27",TRUE,TRUE,TRUE,FALSE,FALSE,"same",68353,"65541","2018-12-13"
"AFR::COD::Sankuru::Lusambo Health District-2020-06-08-2020-09-13",FALSE,TRUE,TRUE,FALSE,FALSE,"same",68353,"65541","2018-12-13"
"AFR::COD::Sankuru::Lusambo Health District-2019-08-12-2019-10-27",TRUE,TRUE,TRUE,FALSE,FALSE,"same",66037,"65541","2019-07-03"
"AFR::COD::Sankuru::Lusambo Health District-2020-06-08-2020-09-13",TRUE,TRUE,TRUE,FALSE,FALSE,"same",66037,"65541","2019-07-03"
"AFR::COD::Kinshasa::Kingabwa Health District-2018-01-29-2018-10-07",FALSE,TRUE,TRUE,FALSE,FALSE,"same",122918,"117439","2016-09-30"
"AFR::COD::Kinshasa::Limete Health District-2018-02-12-2019-03-31",FALSE,TRUE,TRUE,FALSE,FALSE,"same",39720,"13589","2016-09-30"
"AFR::SSD::Northern Liech::Rubkona-2016-10-17-2017-03-19",FALSE,TRUE,TRUE,FALSE,FALSE,"same",71214,"69757","2015-06-22"
"AFR::SSD::Northern Liech::Rubkona::Bentiu Town-2016-10-24-2017-01-15",FALSE,TRUE,TRUE,FALSE,FALSE,"larger",71214,"69757","2015-06-22"
"AFR::NGA::Borno::Maiduguri-2018-08-20-2018-12-23",TRUE,TRUE,TRUE,FALSE,FALSE,"same",326833,"338108","2017-12-08"
"AFR::MWI::Southern::Nsanje-2022-04-18-2022-07-03",FALSE,TRUE,TRUE,FALSE,FALSE,"same",215968,"170000","2020-10-19"
"AFR::MWI::Southern::Machinga-2022-11-07-2023-02-12",FALSE,FALSE,TRUE,FALSE,FALSE,"same",NA,"170000","2020-10-19"
"AFR::MWI::Central::Salima-2018-01-29-2018-04-01",TRUE,TRUE,TRUE,FALSE,FALSE,"same",115672,"108533","2017-11-20"
"AFR::MWI::Central::Salima-2018-01-29-2018-04-01",TRUE,TRUE,TRUE,FALSE,FALSE,"same",110511,"108533","2017-12-11"
"AFR::ETH::Afar::Zone 4::Ewa-2019-09-09-2019-11-03",TRUE,TRUE,TRUE,FALSE,FALSE,"larger",29209,"36500","2019-08-01"
"AFR::ETH::Gambela::Agnewak::Dima-2020-11-02-2020-12-20",FALSE,TRUE,TRUE,FALSE,FALSE,"larger",29209,"36500","2019-08-01"
