"ID_outbreak","OCV_before_1","OCV_before_2","OCV_before_3","OCV_during","OCV_after_1","spatial_scale","Num_doses","Target_pop","Start_date"
"AFR::ZMB::Lusaka-2017-11-27-2018-04-22",FALSE,FALSE,FALSE,FALSE,FALSE,"smaller",NA,"1502839","2020-12-01"
"AFR::ZMB::Lusaka::Lusaka-2017-11-06-2018-04-08",FALSE,FALSE,FALSE,FALSE,FALSE,"same",NA,"1502839","2020-12-01"
"AFR::ZMB::Lusaka-2017-11-27-2018-04-22",FALSE,FALSE,FALSE,TRUE,FALSE,"smaller",1317925,"715256","2018-01-10"
"AFR::ZMB::Lusaka::Lusaka-2017-11-06-2018-04-08",FALSE,FALSE,FALSE,TRUE,FALSE,"same",1317925,"715256","2018-01-10"
"AFR::ZMB::Lusaka-2017-11-27-2018-04-22",FALSE,FALSE,FALSE,TRUE,FALSE,"smaller",1422478,"715256","2018-02-05"
"AFR::ZMB::Lusaka::Lusaka-2017-11-06-2018-04-08",FALSE,FALSE,FALSE,TRUE,FALSE,"same",1422478,"715256","2018-02-05"
"AFR::ZMB::Lusaka-2017-11-27-2018-04-22",FALSE,TRUE,TRUE,FALSE,FALSE,"smaller",423744,"543755","2016-04-09"
"AFR::ZMB::Lusaka::Lusaka-2017-11-06-2018-04-08",FALSE,TRUE,TRUE,FALSE,FALSE,"same",423744,"543755","2016-04-09"
"AFR::ZMB::Lusaka-2017-11-27-2018-04-22",TRUE,TRUE,TRUE,FALSE,FALSE,"smaller",437143,"421548","2016-12-16"
"AFR::ZMB::Lusaka::Lusaka-2017-11-06-2018-04-08",TRUE,TRUE,TRUE,FALSE,FALSE,"same",437143,"421548","2016-12-16"
"AFR::MOZ::Nampula-2017-10-02-2018-01-07",TRUE,TRUE,TRUE,FALSE,FALSE,"smaller",209561,"193403","2016-10-03"
"AFR::MOZ::Nampula-2017-10-02-2018-01-07",TRUE,TRUE,TRUE,FALSE,FALSE,"smaller",208734,"193403","2016-10-24"
"AFR::COD::Sud-Kivu::Uvira Health District-2010-04-05-2010-12-05",NA,NA,NA,NA,NA,"same",23173,"352401",""
"AFR::COD::Sud-Kivu::Uvira Health District-2012-01-09-2012-05-06",NA,NA,NA,NA,NA,"same",23173,"352401",""
"AFR::COD::Sud-Kivu::Uvira Health District-2014-01-13-2014-06-15",NA,NA,NA,NA,NA,"same",23173,"352401",""
"AFR::COD::Sud-Kivu::Uvira Health District-2014-09-08-2014-11-02",NA,NA,NA,NA,NA,"same",23173,"352401",""
"AFR::COD::Sud-Kivu::Uvira Health District-2014-12-01-2015-03-22",NA,NA,NA,NA,NA,"same",23173,"352401",""
"AFR::COD::Sud-Kivu::Uvira Health District-2016-07-18-2016-11-06",NA,NA,NA,NA,NA,"same",23173,"352401",""
"AFR::COD::Sud-Kivu::Uvira Health District-2017-08-07-2017-10-22",NA,NA,NA,NA,NA,"same",23173,"352401",""
"AFR::COD::Sud-Kivu::Uvira Health District-2018-10-15-2018-11-25",NA,NA,NA,NA,NA,"same",23173,"352401",""
"AFR::COD::Sud-Kivu::Uvira Health District::Kabindula-2010-08-23-2010-11-07",NA,NA,NA,NA,NA,"larger",23173,"352401",""
"AFR::COD::Sud-Kivu::Uvira Health District::Kalundu Cepac-2012-03-12-2012-07-08",NA,NA,NA,NA,NA,"larger",23173,"352401",""
"AFR::COD::Sud-Kivu::Uvira Health District::Kalundu Etat-2010-06-07-2010-10-31",NA,NA,NA,NA,NA,"larger",23173,"352401",""
"AFR::COD::Sud-Kivu::Uvira Health District::Kavimvira-2013-10-07-2014-01-05",NA,NA,NA,NA,NA,"larger",23173,"352401",""
"AFR::COD::Sud-Kivu::Uvira Health District::Kilomoni-2010-02-08-2010-05-02",NA,NA,NA,NA,NA,"larger",23173,"352401",""
"AFR::COD::Sud-Kivu::Uvira Health District::Kilomoni-2012-04-09-2012-06-24",NA,NA,NA,NA,NA,"larger",23173,"352401",""
"AFR::COD::Sud-Kivu::Uvira Health District::Kilomoni-2013-11-18-2014-01-12",NA,NA,NA,NA,NA,"larger",23173,"352401",""
"AFR::COD::Sud-Kivu::Uvira Health District::Mulongwe-2010-08-23-2010-10-31",NA,NA,NA,NA,NA,"larger",23173,"352401",""
"AFR::COD::Sud-Kivu::Uvira Health District::St Paul-2010-09-20-2011-05-15",NA,NA,NA,NA,NA,"larger",23173,"352401",""
"AFR::COD::Sud-Kivu::Uvira Health District::St Paul-2011-07-04-2011-12-11",NA,NA,NA,NA,NA,"larger",23173,"352401",""
"AFR::COD::Sud-Kivu::Uvira Health District::Tanganyika-2010-08-30-2010-11-28",NA,NA,NA,NA,NA,"larger",23173,"352401",""
"AFR::COD::Sud-Kivu::Uvira Health District::Tanganyika-2012-11-12-2013-06-16",NA,NA,NA,NA,NA,"larger",23173,"352401",""
"AFR::COD::Sud-Kivu::Uvira Health District::Tanganyika-2013-09-16-2013-12-29",NA,NA,NA,NA,NA,"larger",23173,"352401",""
"AFR::COD::Sud-Kivu::Fizi Health District-2010-03-15-2010-05-23",NA,NA,NA,NA,NA,"same",44399,"327827",""
"AFR::COD::Sud-Kivu::Fizi Health District-2011-09-19-2011-10-30",NA,NA,NA,NA,NA,"same",44399,"327827",""
"AFR::COD::Sud-Kivu::Fizi Health District-2013-03-11-2013-06-02",NA,NA,NA,NA,NA,"same",44399,"327827",""
