"location","outbreak_number","spatial_scale","outbreak_pop","country","start_date","end_date","weekly_threshold_per_10e5","Total_sCh","Total_cCh","Total_deaths","Duration_weeks","peak_week_incidence","time_to_peak_week","peak_week_incidence_per_100percent","peak_week_incidence_per_10e3","mean_R0_1st_week","area_per_1km2","rural_urban","AR_per_10e3","CFR_per_100percent"
"AFR::AGO",1,"country",23290543.4083548,"AGO","2010-04-05","2010-06-13",0.0404701230250403,733,NA,NA,10,195,3,26.6030013642565,0.00837249679327146,2.68,1246918.1156744,"rural",0.0314720007665025,NA
"AFR::AGO",2,"country",24177013.7911852,"AGO","2011-01-10","2011-03-27",0.0404701230250403,317,NA,NA,11,107,3,33.7539432176656,0.00442569131672545,1.46,1246918.1156744,"rural",0.0131116275458128,NA
"AFR::AGO",3,"country",26050981.5699894,"AGO","2013-02-04","2013-12-01",0.0404701230250403,3447,NA,NA,43,393,40,11.4012184508268,0.0150858039242842,1.11,1246918.1156744,"rural",0.132317471061088,NA
"AFR::AGO::Cabinda",1,"admin1",1017697.79376837,"AGO","2017-01-02","2017-07-09",0.0529964185048793,215,NA,NA,27,20.5,3,9.53488372093023,0.0201435044131244,2.22,7050.1241338206,"rural",0.211261143844963,NA
"AFR::BDI",1,"country",11060738.935042,"BDI","2016-07-25","2016-11-20",0.0333155686687698,348,0,0,17,63,4,18.1034482758621,0.0056958219853112,2.35,25078.0105920072,"rural",0.0314626357283857,0
"AFR::BDI",5,"country",11320847.7084415,"BDI","2017-10-02","2017-11-26",0.0333155686687698,107,NA,0,8,40,3,37.3831775700935,0.00353330430990371,2.34,25078.0105920072,"rural",0.00945158902899241,0
"AFR::BDI",6,"country",12050566.0988635,"BDI","2019-01-14","2019-03-17",0.0333155686687698,53,NA,NA,9,12,3,22.6415094339623,0.000995803840379887,1.7,25078.0105920072,"rural",0.0043981336283445,NA
"AFR::BDI::Bujumbura Mairie::Bujumbura Center Sanitary District",1,"admin2",175976.497067962,"BDI","2013-05-27","2013-10-27",2.71773481097201,451,NA,0,22,80,9,17.7383592017738,0.454606162373514,1.7,16.4271209793672,"urban",2.56284224038069,0
"AFR::BDI::Bujumbura Mairie::Bujumbura Center Sanitary District",4,"admin2",186391.044719245,"BDI","2014-07-21","2015-01-18",2.71773481097201,249.5,NA,0,26,33,4,13.2264529058116,0.177637752705216,1.64,16.4271209793672,"urban",1.3385836233485,0
"AFR::BDI::Bujumbura Mairie::Bujumbura Center Sanitary District",6,"admin2",231859.434509847,"BDI","2019-06-17","2019-10-20",2.71773481097201,624,NA,NA,18,80,14,12.8205128205128,0.345036638983964,1.71,16.4271209793672,"urban",2.69128578407492,NA
